"areaid","areaname","welfare","welfare_chld"
4041137,"Flinsberger Platz",11.36,16.41
4041238,"Kissinger Straße",11.03,11.2
4041239,"Stadion Wilmersdorf",43.46,25
4041240,"Messelpark",2.79,2.52
4041241,"Breite Straße",6.18,4.65
4041342,"Schlangenbader Straße",15.82,18.66
4041343,"Binger Straße",8.09,8.65
4041344,"Rüdesheimer Platz",7.2,6.94
4051445,"Eisenzahnstraße",15.37,23.83
4051446,"Preußenpark",7.62,7.88
4051447,"Ludwigkirchplatz",10.88,14.89
4051448,"Schaperstraße",11.28,17.22
4051549,"Rathaus Wilmersdorf",19.5,31.79
4051550,"Leon-Jessel-Platz",11.07,17.15
4051551,"Brabanter Platz",13.6,22.38
4051652,"Nikolsburger Platz",9.92,13.09
4051653,"Prager Platz",10.36,12.13
4051654,"Wilhelmsaue",10.38,13.03
4051655,"Babelsberger Straße",12.17,13.21
4051656,"Hildegardstraße",8.19,9.86
4061757,"Forst Grunewald",0,0
5010101,"Hakenfelde Nord",18.25,24.16
5010102,"Goltzstraße",26.1,39.79
5010103,"Amorbacher Weg",14.12,18.33
5010204,"Griesingerstraße",38.94,37.3
5010205,"An der Tränke",5.26,9.01
5010206,"Gütersloher Weg",40.41,51.34
5010207,"Darbystraße",42.82,49.57
5010208,"Germersheimer Platz",36.67,50.75
5010209,"An der Kappe",16.05,22.76
5010310,"Eckschanze",31.06,43.47
5010311,"Eiswerder",39.68,48.25
5010312,"Kurstraße",43.94,59.7
5010313,"Ackerstraße",30.51,42.67
5010314,"Carl-Schurz-Straße",28.37,41.44
5010339,"Freiheit",15.4,7.84
5020415,"Isenburger Weg",3.55,4.9
5020416,"Am Heideberg",10.84,10.46
5020417,"Staakener Straße",14.25,18.41
5020418,"Spandauer Straße",21.54,23.13
5020419,"Magistratsweg",36.66,46.97
5020420,"Werkstraße",11.05,15.24
5020521,"Döberitzer Weg",7.22,8.59
5020522,"Pillnitzer Weg",52.75,60.68
5020523,"Maulbeerallee",70.34,70.1
5020524,"Weinmeisterhornweg",12.29,17.11
5020625,"Borkumer Straße",24.64,39.33
5020626,"Adamstraße",25.54,37.42
5020627,"Tiefwerder",33.66,46.07
5020628,"Graetschelsteig",27.73,37.76
5020629,"Börnicker Straße",6.45,4.69
5030730,"Zitadellenweg",18.06,23.83
5030731,"Gartenfelder Straße",33.58,46.14
5030832,"Rohrdamm",26.5,39.1
5030833,"Motardstraße",24.36,55.77
5040934,"Alt-Gatow",13.4,20.88
5040935,"Groß-Glienicker Weg",16.37,9.09
5040936,"Jägerallee",3.37,2.87
5040937,"Kladower Damm",1.63,1.16
5040938,"Kafkastraße",3.75,5.05
6010101,"Fichtenberg",4.51,4.07
6010102,"Schloßstr.",10.22,12.95
6010103,"Markelstraße",7,7.78
6010204,"Munsterdamm",12.59,16.09
6010205,"Südende",12.45,17.92
6010206,"Stadtpark",10.85,13.77
6010207,"Mittelstraße",11.46,16.37
6010208,"Bergstraße",10.06,11.33
6010209,"Feuerbachstraße",10.67,14.11
6010210,"Bismarckstraße",11.84,15.31
6020301,"Alt-Lankwitz",12.56,16.7
6020302,"Komponistenviertel Lankwitz",7.81,11.13
6020303,"Lankwitz Kirche",17.5,24.18
6020304,"Kaiser-Wilhelm-Straße",16.52,22.69
6020305,"Gemeindepark Lankwitz",17.53,23.38
6020306,"Lankwitz Süd",8.76,12.53
6020407,"Thermometersiedlung",31.2,42.81
6020408,"Lichterfelde Süd",17.84,24.09
6020409,"Königsberger Straße",11.13,15.72
6020410,"Oberhofer Platz",7.12,9.52
6020411,"Schütte-Lanz-Straße",12.8,19.76
6030501,"Berlepschstr.",8.49,11.8
6030502,"Zehlendorf Süd",13.19,18.42
6030503,"Zehlendorf Mitte",7.24,9.09
6030504,"Teltower Damm",4.68,4.66
6030605,"Botanischer Garten",8.38,9.13
6030606,"Hindenburgdamm",12.71,15.92
6030607,"Goerzwerke",7.26,10.99
6030608,"Schweizer Viertel",6.25,6.06
6030609,"Augustaplatz",9.41,11.81
6030610,"Lichterfelde West",4.63,4.54
6040701,"Wannsee",4.39,4.3
6040702,"Düppel",5.41,5.45
6040703,"Nikolassee",3.74,3.64
6040804,"Krumme Lanke",2.48,1.86
6040805,"Fischerhüttenstraße",4.44,4.37
6040806,"Fischtal",4.75,4.94
6040807,"Zehlendorf Eiche",7.13,6.6
6040808,"Hüttenweg",2.68,3.12
6040809,"Thielallee",1.48,1.54
6040810,"Dahlem",3.47,4.02
7010101,"Wittenbergplatz/Viktoria-Luise-Platz",14.33,20.39
7010102,"Nollendorfplatz",26.83,44.04
7010103,"Barbarossaplatz",10.93,14.9
7010104,"Dennewitzplatz",26.5,38.59
7020201,"Bayerischer Platz",10.89,12.9
7020202,"Volkspark (Rudolf-Wilde-Park)",17.28,24.47
7020203,"Kaiser-Wilhelm-Platz",17.37,24.73
7020204,"Schöneberger Insel",12.07,16.71
7030301,"Friedenau",7.06,7.92
